account.licenseNumber;listing.address.point.lat;listing.address.point.lon;listing.advertiserId;listing.totalAreas
24344-J-SP;-23.462277;-46.513667;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;74m2
25618-J-SP;-23.540967;-46.654335;882bc971-08c8-7992-fdd0-dccba3f0f23b;75m2
24344-J-SP;-19.938126;-43.982267;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;55m2
19371-J-SP;-23.566991;-46.610759;5a882328-06c4-52e1-bd0f-2b2e11a2b5ba;53m2
24344-J-SP;-23.68962;-46.616611;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;80m2
24344-J-SP;-22.926367;-43.179845;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;69m2
24344-J-SP;-25.389855;-49.208309;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;54m2
normal;-27.546404;-48.495863;701b0dee-1774-ab17-d9f0-ad7e13fdb054;102m2
24344-J-SP;-23.560789;-46.657586;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;38m2
24344-J-SP;-22.890843;-43.271302;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;93m2
normal;-27.609048;-48.531873;701b0dee-1774-ab17-d9f0-ad7e13fdb054;81m2
24344-J-SP;-23.601082;-46.676856;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;120m2
24344-J-SP;-23.524031;-46.691799;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;74m2
111032-F-SP;-22.737889;-47.333691;a67e0421-bc3c-4a7e-1aed-9827181cfe2e;90m2
24344-J-SP;-23.659372;-46.665912;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;65m2
24344-J-SP;-23.612883;-46.682828;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;85m2
103714-J-SP;-23.617594;-46.694549;33fac1af-a3c4-e68e-6384-1da7e3724b03;74m2
131313-J-SP;-21.195072;-47.778075;8b56e11d-a8e0-e0b9-5853-a613f8f9c674;23m2
023886-F-RJ;-22.984602;-43.214621;60663c08-c878-bf98-3446-52d3ee7395bc;260m2
24067-J-SP;-23.671697;-46.522822;2f44dce4-c238-13a4-2fb3-e8cd0bebfc03;100m2
24344-J-SP;-22.896979;-47.076547;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;70m2
33032-J-SP;-20.801062;-49.375963;34bf23a0-b5b1-bf0c-f619-6e86a173f0c9;77m2
24344-J-SP;-23.48328;-46.847721;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;70m2
24344-J-SP;-23.560234;-46.642188;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;39m2
24344-J-SP;-23.54852;-46.688059;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;70m2
2095-J-MG;-19.945038;-43.944078;a7393c98-d2d0-9e96-2453-02c9eda261fb;104m2
24344-J-SP;-23.59239;-46.631815;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;64m2
03366-J-MG;-19.956908;-43.93701;82910b54-ad60-d86e-eaf7-35706b752098;157m2
24344-J-SP;-22.957153;-43.348334;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;62m2
24344-J-SP;-23.503637;-46.608933;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;51m2
10179-J-SP;-22.893124;-47.056915;394e6e62-1cc3-af5d-b465-902b6cb44261;147m2
24344-J-SP;-23.608797;-46.738559;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;89m2
8285-J-RJ;-22.921409;-43.216762;ddd51e1e-b9cd-6fa8-7fef-be09b5a1dc34;84m2
24344-J-SP;-23.513432;-46.689086;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;70m2
25225-J-SP;-23.185708;-46.897806;29a60e46-c358-0e1b-4921-e3dac0843444;78m2
35315-F-RS;-29.754994;-51.150283;61152e64-4dae-e2a9-8db3-94be53de3177;65m2
24344-J-SP;-22.8407;-43.320308;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;68m2
24344-J-SP;-23.63579;-46.638766;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;50m2
29076-J-SP;-22.89677;-47.06048;6eda4c94-79b5-96a4-f2d1-c982e49fdc38;200m2
28626-F-RJ;-22.467283;-43.145901;3b7e3a16-e76b-5404-41cd-6fdebf0c1121;70m2
